x,y,location,description
-70,0,VIRIDIAN CITY,"A beautiful city that is enveloped in green year-round. The Gym Leader is Giovanni, the boss of Team Rocket and a Ground-type expert."
-70,125,PEWTER CITY,"A quiet city nestled between rugged mountains and rocks. The most notable resident of the city is Brock, a Rock-type expert and the Leader of the Pewter Gym."
-70,-85,PALLET TOWN,A fairly new and quiet town. It's a small and pretty place. It is the hometown of the player and their rival in the Kanto-based games.
-70,105,VIRIDIAN FOREST,A forest that lies between Viridian City and Pewter City. The deep and sprawling forest is said to be a natural maze as many people get lost inside.
-70,-185,CINNABAR ISLAND,A town used to be here until it was swept away by an eruption. It is home to a large volcano. Blaine was once the resident Gym Leader specializing in Fire-type.
-35,-185,SEAFOAM ISLANDS,A set of caves between Fuchsia City and Cinnabar Island. The legendary Pokemon Articuno resides in this area.
-100,105,VICTORY ROAD,"A cave that holds the only way to the Indigo Plateau, accessed to the west and north of Viridian City. The protagonist must have all eight badges to enter."
-100,155,INDIGO PLATEAU,The headquarters of the Pokemon League. This is where the Trainers who have defeated all of the eight Gym Leaders battle against the Elite Four and the Champion.
5,-130,FUCHSIA CITY,A historic village that has become new. Its most distinguishing features are the Safari Zone and the Poison-type Gym. Koga is the Fuchsia City Gym Leader.
-5,80,CELADON CITY,"A rich, rainbow colored city where people and Pokemon gather. Celadon is the main place to spend money in Kanto, through the Department Store and the Game Corner."
-20,155,MT MOON,"A mountain that lies between Pewter City and Cerulean City. As it cannot be climbed, player characters must hike through the cave area."
30,155,CERULEAN CITY,"A beautiful city with flowing water and blooming flowers. It is home to Misty, the Water-type Gym Leader."
30,80,SAFFRON CITY,"The biggest city in Kanto, shining with a golden light. It is modeled after Japan's capital city of Tokyo."
85,80,LAVENDER TOWN,A small town covered in a beautiful hue of purple. The citizens claim the ghosts that appear in the Tower are the spirits of Pokemon that have died.
30,-25,VERMILLION CITY,"A southern city that is bathed in orange by the setting sun. Situated near a sea inlet to the south, it serves as a popular sea port for ships such as the S.S. Anne."
85,125,ROCK TUNNEL,"A pitch-black cave that connects Cerulean City and Lavender Town. It is the only route to Lavender Town, as the alternative is inaccessible by a slumbering Snorlax."
